XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
02/16/2024 00:00,2003.4,2014.94,1995.22,2012.5,910,0.45,
02/15/2024 00:00,1993.79,2007.9,1990.18,2003.29,950,0.47,
02/14/2024 00:00,1991.28,1996,1985.27,1993.75,247,0.12,
02/13/2024 00:00,2018.97,2029.71,1990.19,1991.28,-2769,-1.39,
02/12/2024 00:00,2025.25,2026.98,2011.3,2018.76,-649,-0.32,
02/11/2024 00:00,2024.99,2026.6,2023.7,2025.38,39,0.02,
02/09/2024 00:00,2034.1,2036.75,2020.3,2024.38,-972,-0.48,
02/08/2024 00:00,2036.42,2038.43,2020.34,2034.1,-232,-0.11,
02/07/2024 00:00,2035.21,2044.47,2030.57,2036.41,120,0.06,
02/06/2024 00:00,2025.1,2038.62,2022.6,2035.15,1005,0.49,
02/05/2024 00:00,2040.01,2040.01,2014.4,2024.99,-1502,-0.74,
02/04/2024 00:00,2038.8,2042.05,2038.2,2040.01,121,0.06,
02/02/2024 00:00,2054.68,2057.42,2027.2,2039.58,-1510,-0.74,
02/01/2024 00:00,2040.0,2065.14,2038.5,2054.66,1466,0.71,
01/31/2024 00:00,2036.74,2055.78,2031.0,2039.71,297,0.15,
01/30/2024 00:00,2031.27,2048.31,2029.1,2036.4,513,0.25,
01/29/2024 00:00,2021.79,2037.24,2018.5,2031.18,939,0.46,
01/28/2024 00:00,2023.55,2027.43,2020.7,2021.55,-200,-0.10,
01/26/2024 00:00,2019.8,2025.91,2016.0,2018.33,-147,-0.07,
01/25/2024 00:00,2016.43,2024.84,2010.71,2020.51,408,0.20,
01/24/2024 00:00,2028.9,2036.33,2011.22,2016.43,-1247,-0.62,
01/23/2024 00:00,2021.28,2037.65,2019.1,2029.31,803,0.40,
01/22/2024 00:00,2027.29,2031.92,2017.46,2020.84,-645,-0.32,
01/21/2024 00:00,2028.74,2028.88,2026.1,2027.45,-129,-0.06,
01/19/2024 00:00,2023.33,2039.29,2019.6,2029.47,614,0.30,
01/18/2024 00:00,2009.5,2024.34,2005.5,2023.64,1414,0.70,
01/17/2024 00:00,2023.63,2028.77,2001.4,2009.71,-1392,-0.69,
01/16/2024 00:00,2054.25,2054.4,2023.9,2028.1,-2615,-1.29,
01/15/2024 00:00,2047.29,2058.55,2045.8,2054.18,689,0.34,
01/14/2024 00:00,2047.7,2048.41,2045.5,2047.49,-21,-0.01,
01/12/2024 00:00,2035.2,2062.13,2029.9,2048.99,1379,0.67,
01/11/2024 00:00,2026.87,2038.96,2013.39,2034.92,805,0.40,
01/10/2024 00:00,2030.74,2040.19,2020.39,2026.75,-399,-0.20,
01/09/2024 00:00,2029.8,2040.22,2026.12,2030.99,119,0.06,
01/08/2024 00:00,2044.1,2046.5,2018.62,2030.8,-1330,-0.65,
01/07/2024 00:00,2044.04,2045.38,2043.1,2044.38,34,0.02,
01/05/2024 00:00,2044.02,2063.6,2025.36,2045.41,139,0.07,
01/04/2024 00:00,2042.92,2050.65,2036.56,2044.41,149,0.07,
01/03/2024 00:00,2059.55,2065.92,2030.88,2042.92,-1663,-0.81,
01/02/2024 00:00,2063.78,2078.8,2056.65,2059.52,-426,-0.21,
01/01/2024 00:00,2064.0,2066.44,2063.0,2063.55,-45,-0.02,
12/29/2023 00:00,2066.69,2074.51,2058.22,2062.66,-403,-0.20,
12/28/2023 00:00,2079.31,2088.31,2064.6,2066.83,-1248,-0.60,
12/27/2023 00:00,2066.36,2083.99,2061.65,2079.31,1295,0.62,
12/26/2023 00:00,2054.69,2068.91,2052.9,2066.06,1137,0.55,
12/25/2023 00:00,2053.41,2057.6,2053.2,2054.8,139,0.07,
12/22/2023 00:00,2052.98,2070.2,2046.9,2052.74,-24,-0.01,
12/21/2023 00:00,2032.01,2054.79,2031.9,2052.21,2020,0.98,
12/20/2023 00:00,2040.8,2043.29,2027.54,2032.01,-879,-0.43,
12/19/2023 00:00,2027.48,2046.82,2021.1,2041.07,1359,0.67,
12/18/2023 00:00,2017.66,2033.49,2015.4,2027.71,1005,0.50,
12/17/2023 00:00,2019.83,2020.4,2015.6,2016.8,-303,-0.15,
12/15/2023 00:00,2035.96,2044.42,2015.96,2019.45,-1651,-0.82,
12/14/2023 00:00,2032.52,2047.55,2028.05,2035.69,317,0.16,
12/13/2023 00:00,1982.25,2032.2,1973.01,2032.02,4977,2.45,
12/12/2023 00:00,1982.95,1994.96,1977.16,1982.42,-53,-0.03,
12/11/2023 00:00,2007.14,2007.62,1975.4,1983.09,-2405,-1.21,
12/10/2023 00:00,2004.16,2007.39,2004.16,2007.08,292,0.15,
12/08/2023 00:00,2028.3,2033.91,1994.71,2004.29,-2401,-1.20,
12/07/2023 00:00,2026.98,2039.66,2020.34,2027.78,80,0.04,
12/06/2023 00:00,2018.2,2035.26,2018.2,2026.98,878,0.43,
12/05/2023 00:00,2033.79,2040.92,2009.71,2018.38,-1541,-0.76,
12/04/2023 00:00,2120.04,2120.04,2020.9,2033.08,-8696,-4.28,
12/03/2023 00:00,2072.7,2132.0,2071.2,2119.33,4663,2.20,
12/01/2023 00:00,2040.04,2074.95,2033.94,2071.93,3189,1.54,
11/30/2023 00:00,2044.53,2046.93,2032.24,2040.01,-452,-0.22,
11/29/2023 00:00,2044.41,2051.74,2035.88,2044.53,12,0.01,
11/28/2023 00:00,2015.29,2044.35,2011.79,2044.31,2902,1.42,
11/27/2023 00:00,2002.34,2017.57,2001.85,2015.23,1289,0.64,
11/26/2023 00:00,2011.1,2011.1,2000.1,2002.26,-884,-0.44,
11/24/2023 00:00,1994.07,2003.2,1991.1,2001.97,790,0.39,
11/23/2023 00:00,1990.08,1998.41,1989.3,1993.98,390,0.20,
11/22/2023 00:00,1999.2,2006.09,1986.95,1990.72,-848,-0.43,
11/21/2023 00:00,1992.07,2007.1,1984.2,1999.26,719,0.36,
11/20/2023 00:00,1975.73,1984.85,1965.55,1981.22,549,0.28,
11/19/2023 00:00,1977.33,1978.46,1974.24,1974.24,-309,-0.16,
11/17/2023 00:00,1982.18,1993.27,1978.0,1980.55,-163,-0.08,
11/16/2023 00:00,1960.22,1987.7,1956.4,1982.32,2210,1.11,
11/15/2023 00:00,1962.16,1974.4,1955.81,1960.22,-194,-0.10,
11/14/2023 00:00,1946.6,1969.76,1943.1,1962.22,1562,0.80,
11/13/2023 00:00,1940.04,1948.91,1932.29,1946.3,626,0.32,
11/12/2023 00:00,1938.34,1940.58,1937.06,1940.2,186,0.10,
